Manufacturer,Brand
Monarch Beverage Company,Reaktor Energy
Monarch Beverage Company,Sensa
Monarch Beverage Company,Sun Crest
Mondelez International,BelVita
Mondelez International,Cadbury
Mondelez International,Caramilk
Mondelez International,Chips Ahoy
Mondelez International,Christie
Mondelez International,Dad's
Mondelez International,David
Mondelez International,Dentyne
Mondelez International,Halls
Mondelez International,Maynards
Mondelez International,Milka
Mondelez International,Oreo
Mondelez International,Peak Freans
Mondelez International,Potato Thins
Mondelez International,Ritz
Mondelez International,Stride
Mondelez International,Toblerone
Mondelez International,Trident
Mondelez International,Triscuit
Mondelez International,Wheat Thins
Mondelez International,3 Bit
Mondelez International,Clorets
Mondelez International,Golden
Mondelez International,LOrna DOOne
Mondelez International,Mister Big
Mondelez International,Mondelez
Mondelez International,NabiscO
Mondelez International,Namnam
Mondelez International,Nutter Butter
Mondelez International,Oro Saiwa
Mondelez International,Saiwa
Mondelez International,Premium Crackers
Mondelez International,Skyflakes
Mondelez International,Sour Patch
Mondelez International,Sour Patch Kids
Mondelez International,Swedish Fish
Mondelez International,Tager
Mondelez International,Tang
Mondelez International,Tuc Crackers
Mondelez International,vitasnella
Mondelez International,Chiclets
Monster Energy,Monster
Monster Energy,Monster Energy
Morinaga & Company,Hi Chew
National Grape Cooperative Association,Welch's
National Grape Cooperative Association,Welch
Nestlé,Aero 
Nestlé,After Eight 
Nestlé,Big Turk 
Nestlé,Butterfinger 
Nestlé,Coffee Crisp 
Nestlé,Crunch 
Nestlé,Kit Kat 
Nestlé,Mack Toffee 
Nestlé,Mirage 
Nestlé,Quality Street 
Nestlé,Peanut Free 
Nestlé,Rolo 
Nestlé,Smarties 
Nestlé,Turtles 
Nestlé,Milo 
Nestlé,Nesquik 
Nestlé,Nestea 
Nestlé,Carnation Breakfast Essentials 
Nestlé,Nesfruta 
Nestlé,Good Host 
Nestlé,Coffee-mate 
Nestlé,Nescafé 
Nestlé,Nescafé Dolce Gusto 
Nestlé,Carnation
Nestlé,Delissio 
Nestlé,Lean Cuisine 
Nestlé,Stouffer's 
Nestlé,Stouffer's Bistro 
Nestlé,Good Start Infant Formula 
Nestlé,Gerber
Nestlé,Materna 
Nestlé,Zephyrhills
Nestlé,Acqua Vera
Nestlé,100 Grand
Nestlé,Aero
Nestlé,Butterfinger
Nestlé,Deer Park
Nestlé,Henniez
Nestlé,Ice Mountain
Nestlé,Laffy Taffy
Nestlé,Levissima
Nestlé,Maggi
Nestlé,Maxibon
Nestlé,Milo
Nestlé,Nescafé
Nestlé,Nestlé
Nestlé,Nesquick
Nestlé,Nestea
Nestlé,Nestle
Nestlé,Orzoro
Nestlé,Ovomaltine
Nestlé,Ozarka
Nestlé,Parlour
Nestlé,Perrier
Nestlé,Poland Spring
Nestlé,Pure Life
Nestlé,ROwntrees
Nestlé,San Pellegrino
Nestlé,Smarties
Nestlé,Sweetarts
Nestlé,Vittel
Nestlé,Crunch
Niagara Bottling,Niagara
Niagara Bottling,Pristine mist
Niagara Bottling,Winco
Nike,Nike
Nissin,Yakisoba
Nissin,Cup Noodles
Nissin,Mini Stick
Nissin,Top Ramen
NOng Fu Spring,NOng Fu Spring
Novolex,Polar Pak
Ocean Spray,Ocean Spray
Old Dutch Foods Inc.,Old Dutch
Organic Valley,Organic Valley
Otsuka,Crystal Geyser
Otsuka,Pocari Sweat
"Panda Restaurant Group, Inc",Panda Express
Parmalat,Black Diamond
Parmalat,President
Parmalat,Astro
Parmalat,Galbani
Parmalat,Parmalat
PAX Labs,Juul
PepsiCo,Pepsi
PepsiCo,Lay's
PepsiCo,Lays
PepsiCo,Mountain Dew
PepsiCo,Gatorade
PepsiCo,Tropicana
PepsiCo,7 Up
PepsiCo,Doritos
PepsiCo,Quaker Oats
PepsiCo,Cheetos
PepsiCo,Mirinda
PepsiCo,Ruffles
PepsiCo,Tostitos
PepsiCo,Aquafina
PepsiCo,Brisk
PepsiCo,MistTwst
PepsiCo,Fritos
PepsiCo,Walkers
PepsiCo,Lemon
PepsiCo,Stacy's
PepsiCo,Alvalle
PepsiCo,H2OH
PepsiCo,Grain Waves
PepsiCo,Smartfood Delight
PepsiCo,Propel
PepsiCo,Duyvis
PepsiCo,Bubly
PepsiCo,Kevita
PepsiCo,Naked
PepsiCo,Sabra
PepsiCo,LifeWtr
PepsiCo,Sunbites
PepsiCo,KurKure
PepsiCo,Grandma's
PepsiCo,KAS
PepsiCo,KhrusTeam
PepsiCo,Miss Vickies
PepsiCo,Munchies
PepsiCo,Paketaxo
PepsiCo,Sabritas
PepsiCo,Petit Fresh Fruit
PepsiCo,Quaker
PepsiCo,Sabra Hummus
PepsiCo,Saladitas
PepsiCo,Spitz Sunflower Seeds
PepsiCo,Sun Chips
Perfetti van Melle,Mentos
Perfetti van Melle,3D
Perfetti van Melle,3D Gum
Perfetti van Melle,AirHeads
Perfetti van Melle,Alpenliebe
Perfetti van Melle,Big Babol
Perfetti van Melle,Brooklyn
Perfetti van Melle,Chupa chup
Perfetti van Melle,Lecca Lecca
Perfetti van Melle,Chocoleibe
Perfetti van Melle,Centre Fresh
Perfetti van Melle,Centre Shock
Perfetti van Melle,Chlormint
Perfetti van Melle,Chupa Chups
Perfetti van Melle,Filly Folly
Perfetti van Melle,Frisk
Perfetti van Melle,Fruittella
Perfetti van Melle,Golia
Perfetti van Melle,Happydent
Perfetti van Melle,Klene
Perfetti van Melle,Meller
Perfetti van Melle,Mentos
Perfetti van Melle,Smint
Perfetti van Melle,Vigorsol
Perfetti van Melle,Vivident
Perfetti van Melle,Goleador
Perfetti van Melle,Golia Bianca
Pfizer,Advil
Philip Morris,Black & Mild
Philip Morris,Marlboro
Philip Morris,Virginia Slims
Philip Morris,Benson & Hedges
Philip Morris,Merit
Philip Morris,Parliament
Philip Morris,Basic
Philip Morris,Basic
Philip Morris,Cambridge
Philip Morris,Alpine
Philip Morris,Bucks
Philip Morris,Dave's
Philip Morris,Chesterfield
Philip Morris,Collector's Choice
Philip Morris,Commander
Philip Morris,Lark
Philip Morris,Greensmoke
Philip Morris,Players
Philip Morris,MarkTen
Philip Morris,L&M
Philip Morris,Grand Tobacco
Philip Morris,Altria
Philip Morris,NXT
Philip Morris,Skoal
Phillip Morris,Phillip Morris
Pladis,United Biscuits
Pladis,Yildiz
Pladis,DeMet's
Pladis,McVities
Pladis,McVitie's
Pladis,Godiva
Pladis,Carr's
Pladis,Tasties
Pladis,Delacre
Pladis,Verkade
Pladis,Go ahead!
Pladis,Wing Dings
Pladis,Flipper Dipper
Pladis,Jacob's
Pladis,Biscuits for Cheese
Pladis,Mini Cheddars
Pladis,Cheddars
Pladis,Cheeselets
Pladis,Choice Grain
Pladis,Cornish Wafer
Pladis,Cream Crackers
Pladis,Essentials Crackers
Pladis,Mediterraneo
Pladis,Thai Bites
Pladis,Water Biscuits
Pladis,Twiglets
Pladis,Water Biscuits
Pladis,Crinklys
Pladis,Oddities
Pladis,McVities
Pladis,Ginger Nuts
Pladis,Digestives
Pladis,Hob Nobs
Pladis,BN
Pladis,Rich Tea
Pladis,Penguin
Pladis,Taxi
Pladis,Lyle's
Pladis,Mini Rolls
Pladis,Club
Pladis,Gold
Pladis,Iced Gems
Pladis,Happy Faces
Pladis,Jaffa Cakes
Pladis,United
Pladis,Stixx
Pladis,FLIPZ
Pladis,Treasures
Pladis,Turtles
Pladis,DeMets
Procter & Gamble,Naturella
Procter & Gamble,Pert Plus
Procter & Gamble,Pert
Procter & Gamble,Rejoice
Procter & Gamble,Gillette
Procter & Gamble,Sunny D
Procter & Gamble,Always
Procter & Gamble,Bounty
Procter & Gamble,Charmin
Procter & Gamble,Ivory
Procter & Gamble,Pampers
Procter & Gamble,Puffs
Procter & Gamble,Tampax
Procter & Gamble,Aussie
Procter & Gamble,Head & Shoulders
Procter & Gamble,Herbal Essences
Procter & Gamble,Olay
Procter & Gamble,Old Spice
Procter & Gamble,Pantene
Procter & Gamble,Secret
Procter & Gamble,Bounce
Procter & Gamble,Cascade
Procter & Gamble,Cheer
Procter & Gamble,Dawn
Procter & Gamble,Downy
Procter & Gamble,Febreze
Procter & Gamble,Gain
Procter & Gamble,Mr Clean
Procter & Gamble,Swiffer
Procter & Gamble,Tide
Procter & Gamble,Align
Procter & Gamble,Braun
Procter & Gamble,Clearblue
Procter & Gamble,Crest
Procter & Gamble,Fixodent
Procter & Gamble,Gillette
Procter & Gamble,Meta
Procter & Gamble,Oral-B
Procter & Gamble,Pepto-bismol
Procter & Gamble,Scope
Procter & Gamble,Vicks
Procter & Gamble,Ace
Rauch,Rauch
Reckitt Benckiser,Durex
Reckitt Benckiser,Air Wick
Reckitt Benckiser,Calgon
Reckitt Benckiser,Cillit Bang
Reckitt Benckiser,Dettol
Reckitt Benckiser,Durex
Reckitt Benckiser,E45 cream
Reckitt Benckiser,Enfamil
Reckitt Benckiser,Gaviscon
Reckitt Benckiser,Harpic
Reckitt Benckiser,Lemsip
Reckitt Benckiser,Lysol
Reckitt Benckiser,Lizol
Reckitt Benckiser,Mortein
Reckitt Benckiser,Mucinex
Reckitt Benckiser,Nurofen
Reckitt Benckiser,Scholl
Reckitt Benckiser,Strepsils
Reckitt Benckiser,Vanish
Reckitt Benckiser,Veet
Reckitt Benckiser,Aerogard
Reckitt Benckiser,Airborne
Reckitt Benckiser,Amphyl
Reckitt Benckiser,Bonjela
Reckitt Benckiser,Brasso
Reckitt Benckiser,Cepacol
Reckitt Benckiser,Clearasil
Reckitt Benckiser,d-CON
Reckitt Benckiser,Finish
Reckitt Benckiser,Calgonit
Reckitt Benckiser,Glass Plus
Reckitt Benckiser,K-Y
Reckitt Benckiser,Mr Sheen
Reckitt Benckiser,Nurofen for Children
Reckitt Benckiser,Sani Flush
Reckitt Benckiser,Woolite
Red Bull,Red Bull
Restaurant Brands International,Burger King
Reynolds Consumer Products,Hefty
Reynolds Consumer Products,Reynolds
Reynolds Consumer Products,Alcan
Reynolds Consumer Products,Diamond
Reynolds Consumer Products,Presto
RJ Reynolds,Newport
RJ Reynolds,Camel
RJ Reynolds,Doral
RJ Reynolds,Eclipse
RJ Reynolds,Kent
RJ Reynolds,Pall Mall
RJ Reynolds,Kodiak
RJ Reynolds,Grizzly
RJ Reynolds,Barclay
RJ Reynolds,Belair
RJ Reynolds,Capri
RJ Reynolds,Carlton
RJ Reynolds,GPC
RJ Reynolds,Lucky Strike
RJ Reynolds,Misty
RJ Reynolds,Monarch
RJ Reynolds,More
RJ Reynolds,Now
RJ Reynolds,Tareyton
RJ Reynolds,Vantage
RJ Reynolds,Viceroy
RJ Reynolds,Natural American Spirit
RJ Reynolds,Original Blue
Roark Capital Group,Arby's
Roark Capital Group,Atkins
Rudolf Wild & Co.,Capri Sun
San Benedetto,Acqua Alpe Guizza
San Benedetto,Acqua San Benedetto
San Benedetto,Gran Guizza 
San Benedetto,guizza
San Benedetto,San Benedeto
San Benedetto,San Benedetto
Sanford LP,Sharpie
Sanford LP,Expo Markers
Sanford LP,Paper Mate
Sanford LP,Dymo
Sanford LP,Elmer's
Sanford LP,Krazy Glue
Sanford LP,Mr. Sketch
Sanford LP,Parker Pens
Sanford LP,Uniball
Sanford LP,Prismacolor
Sanford LP,Rotring
Sanford LP,X-Acto
Sanford LP,Waterman
Sanford LP,Berol
Sazerac,Fireball
SC Johnson,Armstrong
SC Johnson,Drano
SC Johnson,Fantastik
SC Johnson,Future
SC Johnson,Glade
SC Johnson,Kiwi
SC Johnson,OFF
SC Johnson,Oust
SC Johnson,Pledge
SC Johnson,Raid
SC Johnson,Saran
SC Johnson,Scrubbing Bubbles
SC Johnson,SHOUT
SC Johnson,Tana
SC Johnson,Toilet Duck
SC Johnson,Windex
SC Johnson,Ziploc
Solo Cup Co.,Solo
Spangler Candy Company,Dum Dums
Starbucks,Starbucks
Starbucks,Starbucks
Starbucks,Tazo
Starbucks,Teavana
Subway,Subway
SumOl + COmpal,SumOl + COmpal
Suntory,Orangina
Suntory,Bikkle
Suntory,Boss Coffee
Suntory,C.C. Lemon
Suntory,Iced Oolong Tea
Suntory,Natchan
Suntory,Orangina
Suntory,OVI
Suntory,Dakara
Suntory,Lucozade
Suntory,Ribena
Suntory,V
Swedish Match,Game Cigar
Swedish Match,Game
Swedish Match,Game Leaf Tobacco
Swedish Match,Garcia y Vega
Swedish Match,Swedish Match
Swisher International Inc,Swisher Sweets
Target,Target
The Clorox Group,Clorox
The Clorox Group,Brita
The Clorox Group,Burt's Bees
The Clorox Group,Fresh Step
The Clorox Group,Scoop Away
The Clorox Group,Ever Clean
The Clorox Group,Formula 409
The Clorox Group,Glad
The Clorox Group,Hidden Valley
The Clorox Group,Green Works
The Clorox Group,Kitchen Bouquet
The Clorox Group,KC Masterpiece
The Clorox Group,Soy Vay
The Clorox Group,Kingsford
The Clorox Group,Lestoil
The Clorox Group,Liquid Plumr
The Clorox Group,Pine Sol
The Clorox Group,Renew Life
The Clorox Group,Tilex
The Clorox Group,S.O.S.
The Coca-Cola Company,Coca-Cola
The Coca-Cola Company,Sprite
The Coca-Cola Company,Fanta
The Coca-Cola Company,Dasani
The Coca-Cola Company,Minute Maid
The Coca-Cola Company,Ciel
The Coca-Cola Company,PowerAde
The Coca-Cola Company,Simply Beverages
The Coca-Cola Company,Fresca
The Coca-Cola Company,Glacéau Vitaminwater
The Coca-Cola Company,Glacéau
The Coca-Cola Company,Vitaminwater
The Coca-Cola Company,Vitamin water
The Coca-Cola Company,Del Valle
The Coca-Cola Company,Smartwater
The Coca-Cola Company,Smart water
The Coca-Cola Company,Glacéau Smartwater
The Coca-Cola Company,Mello Yello
The Coca-Cola Company,Fuze
The Coca-Cola Company,Fuze Tea
The Coca-Cola Company,Honest Tea
The Coca-Cola Company,Odwalla
The Coca-Cola Company,Tum-e Yummies
The Coca-Cola Company,Coke
The Coca-Cola Company,Aquabona
The Coca-Cola Company,Aquarius
The Coca-Cola Company,coca cola
The Coca-Cola Company,Gold Peak Tea
The Coca-Cola Company,Keringet
The Coca-Cola Company,Kinley
The Coca-Cola Company,Nutriboost
The Coca-Cola Company,Poms
The Coca-Cola Company,Pulpy
The Coca-Cola Company,Römerquelle
The Coca-Cola Company,Rosa
The Coca-Cola Company,Rótulo
The Coca-Cola Company,Royal
The Coca-Cola Company,Schweppes
The Coca-Cola Company,Seagrams
The Coca-Cola Company,Simply Orange
The Coca-Cola Company,Simply lemOnade
The Coca-Cola Company,Simply
The Coca-Cola Company,Sparkle
The Coca-Cola Company,Tops
The Coca-Cola Company,Bonaqua
The Kroger Company,Kroger
The Kroger Company,Harris Teeter
The Kroger Company,Ralphs
The Kroger Company,Smith's
The Topps Company,Bazooka
The Topps Company,Ring Pop
The Topps Company,Juicy Drop
The Topps Company,Push Pop
The Topps Company,Baby Bottle Pop
Tootsie Roll Industries,Charms
Tootsie Roll Industries,Double Bubble
Tootsie Roll Industries,Tootsie Roll
Tootsie Roll Industries,Tootsie Pop
Tootsie Roll Industries,Blow Pop
Toyo Suisan,Maruchan
Toyo Suisan,Instant Ramen
Toyo Suisan,Udon
Toyo Suisan,Soba
Toyo Suisan,Chilled Food
Toyo Suisan,Instant Lunch
Toyo Suisan,Yakisoba
Toyo Suisan,Sanshoku
Toyo Suisan,Mukashi Nagara No Chuka Soba 
Tudung Group,Garuda
Tudung Group,GarudaFood
Tudung Group,Kacang Garuda
Tudung Group,Mountea
Tudung Group,Okky Jelly Drink
Tudung Group,Pilus Garuda
Unilever,Lipton
Unilever,Pure Leaf
Unilever,Red Rose
Unilever,Hellmann's
Unilever,Knorr
Unilever,Magnum
Unilever,Ben & Jerry's
Unilever,Bryers
Unilever,Klondike
Unilever,Popsicle
Unilever,Vim
Unilever,Axe
Unilever,Lynx
Unilever,Dove
Unilever,Vaseline
Unilever,Degree
Unilever,Nexxus
Unilever,Simple
Unilever,St. Ives
Unilever,Tresemme
Unilever,Dermalogica
Unilever,Dove
Unilever,Heartbrand
Unilever,Best Foods
Unilever,Hellmann's
Unilever,Knorr
Unilever,Lipton
Unilever,Lux
Unilever,Magnum
Unilever,Omo
Unilever,Rexona
Unilever,Surf
Unilever,Sunsilk
Unilever,Surf Excel
Unilever,Breeze
Unilever,Skip
Unilever,Sure
Unilever,Degree
Unilever,Shield
Unilever,Alsa
Unilever,Amino
Unilever,Amora
Unilever,Annapurna
Unilever,Aromat
Unilever,Ben & Jerry's
Unilever,Best Foods
Unilever,Bovril
Unilever,Brooke Bond
Unilever,Bru
Unilever,Brummel & Brown
Unilever,Buavita
Unilever,Bushell's
Unilever,Calvé
Unilever,Chicken Tonight
Unilever,Choysa
Unilever,Colman's
Unilever,Conimex
Unilever,Continental
Unilever,Darko
Unilever,Fanacoa
Unilever,Fruco
Unilever,Fudgsicle
Unilever,Grom
Unilever,Heartbrand
Unilever,Hellmann's
Unilever,Joko
Unilever,Kecap Bango
Unilever,Kissan
Unilever,Klondike
Unilever,Knorr
Unilever,Lady's Choice
Unilever,Lan-Choo
Unilever,LaoCai
Unilever,Lipton
Unilever,Lipton Ice Tea
Unilever,Lizano Sauce
Unilever,Salsa Lizano
Unilever,Lyons
Unilever,Maille
Unilever,Maizena
Unilever,Marmite
Unilever,Mãe Terra
Unilever,McCollins
Unilever,Paddlepop
Unilever,Pfanni
Unilever,PG Tips
Unilever,Popsicle
Unilever,Pot Noodle
Unilever,Pukka
Unilever,Pure Leaf
Unilever,Rani
Unilever,Red Rose Tea
Unilever,Robertsons
Unilever,Royco
Unilever,Saga
Unilever,Sariwangi
Unilever,Scottish Blend
Unilever,Sealtest
Unilever,Sir Kensington's
Unilever,Slotts
Unilever,Streets
Unilever,Sunce
Unilever,T2
Unilever,Talenti
Unilever,Telma
Unilever,Tortex
Unilever,Turunsinappi
Unilever,Unilever
Unilever,Unox
Unilever,Weis
Unilever,Jack Links
Unilever,Jack Link's
Unilever,Molto
Unilever,Paddle Pop
Unilever,Pepsodent
Unilever,Ponds
Unilever,Rinso
Unilever,Calvè
Unilever,senape calvè
Unilever,Signal
Unilever,Solero
Unilever,sunlight
Unilever,Tresemme
Unilever,Cornetto
Universal Robina,Jack'N Jill
Universal Robina,Blend 45
Universal Robina,Cream All
Universal Robina,Refresh
Universal Robina,C2
Universal Robina,Piattos
Universal Robina,Roller Coaster
Universal Robina,Tortillos
Unknown,Unknown
Vitasoy,Vitasoy
W.T. Hawkins Ltd.,Cheezies
Waddington Group,Eco Products
Walgreens,Nice
Walmart,Walmart
Walmart,Sam's Choice
Walmart,Great Value
Walmart,Members Mark
Walmart,Parents Choice
Walmart,Members Mark 
Wendy's,Wendy's
Yum! Brands,KFC
Yum! Brands,Pizza Hut
Yum! Brands,Taco Bell
Yum! Brands,WingStreet
Yum! Brands,Banh Shop
3250,3250
361°,361鞋子/361°
3M,3M
3M,Scotch
3M,Scotch Brite
3M,Ultrathon
3Songshu,三只松鼠/3Songshu
7-Eleven,7-11
7-Eleven,7-Eleven
7-Eleven,Seven-eleven
7-Eleven,11-Jul
7-Eleven,7/11/2019
7-Eleven,7/11 Fruit Punch
7-Eleven,711
7-Up,七喜/7-Up
999 Cr Sanjiu,999/Cr Sanjiu
A Ming,阿明/A Ming
A&W,A&W
A.S. Watson Group,屈臣氏/Watsons
A.S. Watson Group,Watsons
Aachi,Aachi
Abbott Laboratories,Abbott Nutrition
Abbott Laboratories,Ensure
Abbott Laboratories,ensure gold
Abbott Laboratories,Pedialyte
Abbott Laboratories,pediasure
Abbott Laboratories,Abbott
ABC Bakery,Abc Bakery
Absolute Manufacturing,Absolute
Accra Brewery Limited,Beta
Acebook,Acecook
ACS Manufacturing Corporation,Branded Plastics
ACS Manufacturing Corporation,Pride
ACS Manufacturing Corporation,Pride Detergent
ACS Manufacturing Corporation,Pride bar
ACS Manufacturing Corporation,Shield
ACS Manufacturing Corporation,Acs Manufactoring Corp.
Activia,碧悠/Activia
Adidas,阿迪达斯/Adidas
Adidas,Adidas
Agrokor,Agrolaguna
Agrokor,Belje
Agrokor,Fonyodi
Agrokor,Frikom
Agrokor,Goda
Agrokor,Jamnica
Agrokor,Jana
Agrokor,Konzum
Agrokor,Ledo
Agrokor,PIK Vrbovec
Agrokor,Sarajevski kiseljak
Agrokor,Sky Cola
Agrokor,Tisak
Agrokor,Zvijezda
Ai Kua,爱夸/Ai Kua
Ai Misi,艾米思/Ai Misi
Ai Shang,爱尚/Ai Shang
Ai Shang,爱上/Ai Shang
Ai Xiao,艾笑/Ai Xiao
Ai Yaya,艾丫丫/Ai Yaya
Aji Frozen USA Corporation,Ajinomoto
Ajinomoto Group,Ajinomoto Umami Seasoning
Ajinomoto Group,Ginisa Mix
Ajinomoto Group,Ajinomoto Vitsin
Ajinomoto Group,Ajinomoto
Ajinomoto Group,Ajinomoto Phils. Corp.
Ajinomoto Group,Aginomoto
Ajinomoto Group,Aji Nomoto
Ajinomoto Group,Ajonomoto
Alaska Corporation,Alaska 
Alaska Corporation,Alaska
Alaska Corporation,Alaska Milk Corp.
Albertsons-Safeway,Acme Markets
Albertsons-Safeway,Albertsons
Albertsons-Safeway,Albertson's
Albertsons-Safeway,Better Living
Albertsons-Safeway,Jewel-Osco
Albertsons-Safeway,Randalls
Albertsons-Safeway,Refreshe
Albertsons-Safeway,Safeway
Albertsons-Safeway,Safeway Inc.
Albertsons-Safeway,Shaw's and Star Market
Albertsons-Safeway,Signature Select
Albertsons-Safeway,Tom Thumb
Albertsons-Safeway,Vons
Aldi,Pur Aqua
Alenter Food Inc,Sweet Corn
Alfred Ritter GmbH&Co,Ritter
Alfred Ritter GmbH&Co,Ritter Sport
Ali Shan,阿里山/Ali Shan
Alidas,阿里达斯/Alidas
Alliance Global Group,Emperador
Alpenliebe,阿尔卑斯/Alpenliebe
Altria,Bensons
Amazon / Whole Foods,365
Amazon / Whole Foods,Amazon
American Bread,American Bread
American Licorice Company,Sour Punch Straws
American Sugar Refining,DOminO
Amoxicillin,阿莫西林/Amoxicillin
Angel,安琪/Angel
Angel's Burger,Angel's Burger
Anheuser-Busch InBev,Bud
Anheuser-Busch InBev,Bud Ice
Anheuser-Busch InBev,Bud Light
Anheuser-Busch InBev,Budweiser
Anheuser-Busch InBev,Busch
Anheuser-Busch InBev,Michelob
Anheuser-Busch InBev,Michelob Light
Anheuser-Busch InBev,Michelob Ultra
Anheuser-Busch InBev,Natty Daddy
Anheuser-Busch InBev,Natural Ice
Anheuser-Busch InBev,Natural Light
Anheuser-Busch InBev,Stella
Anheuser-Busch InBev,Modelo
Anil,Anil
Aniya Pharmaceuticals Limited,Elim Water
Anka Huangmin Capsule,氨咖黄敏胶囊/Anka Huangmin Capsule
Anni,Anni
Annie Candy Manufacturing,Langka
Annie Candy Manufacturing,Hany
Annie Candy Manufacturing,Chocnut
Answer Sheet,试题卡/Answer Sheet
Ao Lin,奥林/Ao Lin
Aoxue,奥雪/Aoxue
Apple,Apple
Apple Punch,Apple Punch
Apple Vinegar,吉斯果园/Apple Vinegar
Aqua Bianca,Aqua Bianca
Aqua Rapha Investment Nigeria Limited,Aqua Rapha
Aqua Rapha Investment Nigeria Limited,Aque Rapha
Aqualife Company,Aqualife Mineral Water
AriZona Beverages,Arizona
Arrow,Arrow
Aryzta,Delice de France
Aryzta,Groupe Hubert
Aryzta,La Brea Bakery
Aryzta,Oakrun Farm
Aryzta,Otis Spunkmeyer
Aryzta,Shamrock
Associated Wholesale Grocers,Best Choice
Assorted,"Aguila, Club Colombia, Poker"
Assorted,"lipton,coke,fanta,sprit,limca,pipsi,minral water, apple juice,orange juice,oil jar,litchi,"
Assorted,Malboro + Dunhill + Gudang Garam
Ati,Ati
August Storck KG,Werther's Original
Auscow Milk,澳牛/Auscow Milk
B&G Foods,Baker’s Joy
B&G Foods,Brer Rabbit Molasses
B&G Foods,Chipita
B&G Foods,Cream of Wheat
B&G Foods,Don Pepino
B&G Foods,Grandma’s Molasses
B&G Foods,Green Giant
B&G Foods,Molly McButter
B&G Foods,Mrs. Dash
B&G Foods,Mrs. Fanning’s
B&G Foods,Ortega
B&G Foods,Sclafani
B&G Foods,Snackwells
B&G Foods,Spice Islands
B&G Foods,Static Guard and Kleen Guard furniture polish
B&G Foods,Sugar Twin
Babaipu,长白甘泉/Babaipu
Babali,Babali
Baby Company,Giggles Wipes
Bacardi,Bacardi
Bacardi,Grey Goose
Bada,八达/Bada
Bai Jia,Bai Jia
Bai Lian,百联/Bai Lian
Bai Wei Cai,百味材/Bai Wei Cai
Bailiwamg,佰利旺/Bailiwamg
Baisha Cigarette,白沙香烟/Baisha Cigarette
Baiweicun,百味村/Baiweicun
Baiweilin,百味林/Baiweilin
Baixiangfood,白象/Baixiangfood
Baiyi Drink,百怡/Baiyi Drink
Bakhresa Group,Azam Embe
Bakhresa Group,Azam Energy
Bakhresa Group,Azam
Bakhresa Group,Azam glucose
Bakhresa Group,Azam Milk
Bakhresa Group,Azam malta
Bakhresa Group,Azam energy drink
Bakhresa Group,Swiss azam
Bakhresa Group,Embe Azam
Bakhresa Group,Planet
Bao Feng,宝峰/Bao Feng
Baobeitu,宝贝图/Baobeitu
Baoligu,宝丽顾/Baoligu
Baolisu,宝力素/Baolisu
Baradji,Baradji
Barilla Group,Alixirand Academia Barilla
Barilla Group,Barilla
Barilla Group,Filiz
Barilla Group,Misko
Barilla Group,Mulino Bianco
Barilla Group,Pavesi
Barilla Group,Vesta
Barilla Group,Voiello
Barilla Group,Wasabröd
Barilla Group,Yemina
Barna,Barna
Barna,Barna Water Nig
Bausch Health,Bausch & lomb
Bausch Health,ReNu
Bawang Group,Ba Wang Shampoo
Bayer,Aleve
Bayer,Coppertone
Bebidas Grassi,Baly Energy Drink
Bei Long,倍龙/Bei Long
Bei Nan Chuan,贝难春/Bei Nan Chuan
Beiersdorf Global AG,Aquaphor
Beiersdorf Global AG,Elastoplast
Beiersdorf Global AG,Eucerin
Beiersdorf Global AG,La Prairie
Beiersdorf Global AG,Labello
Beiersdorf Global AG,Nivea
Beiersdorf Global AG,Tesa
Beijixue,北极雪/Beijixue
Beingmate,贝因美/Beingmate
Bel Group,Adler-Edelcrème
Bel Group,Apéricube
Bel Group,Babybel
Bel Group,Bonbel
Bel Group,Boursin
Bel Group,Cantadou
Bel Group,Cousteron
Bel Group,Jibal
Bel Group,Karicka
Bel Group,Karper
Bel Group,Kaukauna
Bel Group,Kiri
Bel Group,La Vache qui rit
Bel Group,Laughing Cow
Bel Group,Le Véritable Port Salut
Bel Group,Leerdammer
Bel Group,Limiano
Bel Group,Maredsous
Bel Group,Merkts
Bel Group,Moranguete
Bel Group,Picon
Bel Group,Port Salut
Bel Group,Price's
Bel Group,Régal Picon
Bel Group,Safilait
Bel Group,Smetanito
Bel Group,Sylphide
Bel Group,Syrokrém
Bel Group,Terra Nostra
Bel Group,The Laughing Cow
Bel Group,Toastinette
Bel Group,Wispride
Bel Group,Želatava
Bench,Bench Spray
Benita Coffee,Benita
Bereacasa,Acqua Alpi Cozie
Bernacbon,贝纳颂/Bernacbon
Beryl’s Chocolate and Confectionery Sdn. Bhd.,Beryl's Chocolate
Best Tiwi Food Product,Tiwi
BEVi,Kojie san
Bi Gui Yuan,碧桂园瓶盖/Bi Gui Yuan
Big E Food Corp,Inipits
Big E Food Corp,Lava Cake
Big E Food Corp,Lemon Square Cupcake
Big E Food Corp,Lemon Square Cheesecake
Big E Food Corp,Whatta Tops
Big E Food Corp,Lemon Square
Big E Food Corp,Inipit
Big E Food Corp,Lava Cake
Big E Food Corp,Lemon Square
Big E Food Corp,Whattatops 
Bimbo,Barcel
Bimbo,Bimbo
Bimbo,Ideal
Bimbo,Marinela
Bimbo,Mrs Baird's
Bimbo,Oroweat
Bimbo,Pan Blanco Bimbo
Bimbo,Ricolino
Bimbo,Sara Lee
Bimbo,Takis
Bimbo,Tia Rosa
Bimbo,Wonder Bread
