Material,Item,Organization
cloth,clothing,OSPAR
cloth,furnishing,OSPAR
cloth,sacking,OSPAR
cloth,shoes (leather),OSPAR
cloth,other textiles (please specify in other item box*),OSPAR
paper/cardboard,bags,OSPAR
paper/cardboard,cardboard,OSPAR
paper/cardboard,cartons e.g. tetrapak (milk),OSPAR
paper/cardboard,cartons e.g. tetrapak (other),OSPAR
paper/cardboard,cigarette packets,OSPAR
paper/cardboard,cigarette butts,OSPAR
paper/cardboard,cups,OSPAR
paper/cardboard,newspapers & magazines,OSPAR
paper/cardboard,other paper items (please specify in other item box*),OSPAR
wood (machined),corks,OSPAR
wood (machined),pallets,OSPAR
wood (machined),crates,OSPAR
wood (machined),ice lolly sticks/chip forks,OSPAR
wood (machined),paint brushes,OSPAR
wood (machined),other wood < 50 cm (please specify in other item box*),OSPAR
wood (machined),other wood > 50 cm (please specify in other item box*),OSPAR
metal,aerosol/spray cans,OSPAR
metal,bottle caps,OSPAR
metal,drink cans,OSPAR
metal,disposable BBQ's,OSPAR
metal,electric appliances,OSPAR
metal,fishing weights,OSPAR
metal,foil wrappers,OSPAR
metal,food cans,OSPAR
metal,industrial scrap,OSPAR
metal,oil drums,OSPAR
metal,paint tins,OSPAR
metal,lobster/crab pots and tops,OSPAR
metal,"wire, wire mesh, barbed wire",OSPAR
metal,other metal pieces < 50 cm (please specify in other item box*),OSPAR
metal,other metal pieces > 50 cm (please specify in other item box*),OSPAR
glass,bottles,OSPAR
glass,light bulbs/tubes,OSPAR
glass,other glass items (please specify in other item box*),OSPAR
pottery/ceramics,construction materials e.g. tiles,OSPAR
pottery/ceramics,octopus pots,OSPAR
pottery/ceramics,other ceramic/pottery items (please specify in other item box*),OSPAR
sanitary waste,condoms,OSPAR
sanitary waste,cotton bud sticks,OSPAR
sanitary waste,sanitary towels/panty liners/backing strips,OSPAR
sanitary waste,tampons and tampon applicators,OSPAR
sanitary waste,toilet fresheners,OSPAR
sanitary waste,other sanitary items (please specify in other item box*),OSPAR
medical waste,containers/tubes,OSPAR
medical waste,syringes,OSPAR
medical waste,"other medical items (swabs, bandaging etc.)
(please specify in other item box*)",OSPAR
faeces,bagged dog faeces,OSPAR
plastic materials,bags: grocery/retail (plastic),Project AWARE
plastic materials,bags:trash (plastic),Project AWARE
plastic materials,bait containers/packaging,Project AWARE
plastic materials,balloons,Project AWARE
plastic materials,balls,Project AWARE
plastic materials,"baskets, crates",Project AWARE
plastic materials,beverage bottles: less than 2 litres (plastic),Project AWARE
plastic materials,beverage bottles: 2 litres or more (plastic),Project AWARE
plastic materials,"bottles: bleach, cleaner",Project AWARE
plastic materials,bottles: oil/lube,Project AWARE
plastic materials,"buckets, drums & jerry cans: 2 litres or more",Project AWARE
plastic materials,buoys & floats (plastic & foamed),Project AWARE
plastic materials,caps & lids (plastic),Project AWARE
plastic materials,carpet (synthetic),Project AWARE
plastic materials,cigarette filters,Project AWARE
plastic materials,cigarette lighters,Project AWARE
plastic materials,cigar tips,Project AWARE
plastic materials,containers: fast food,Project AWARE
plastic materials,cotton bud sticks,Project AWARE
plastic materials,"cups, plates, forks, knives, spoons (plastic)",Project AWARE
plastic materials,diapers/nappies,Project AWARE
plastic materials,fishing: line,Project AWARE
plastic materials,"fishing: lures, rods/poles",Project AWARE
plastic materials,fishing: nets & pieces of nets,Project AWARE
plastic materials,fishing: traps & pots,Project AWARE
plastic materials,foam insulation & packaging,Project AWARE
plastic materials,food wrappers (plastic),Project AWARE
plastic materials,furnishings (plastic),Project AWARE
plastic materials,gloves (latex),Project AWARE
plastic materials,light sticks/cyalumes,Project AWARE
plastic materials,"mesh bags: fruit, vegetable, shellfish",Project AWARE
plastic materials,pipes (plastic/PVC),Project AWARE
plastic materials,rope (plastic/nylon),Project AWARE
plastic materials,"scuba & snorkel gear, masks, snorkels, fins",Project AWARE
plastic materials,"sheeting: tarpaulin, plastic sheets, palette wrap",Project AWARE
plastic materials,"six-pack rings, ring carriers",Project AWARE
plastic materials,strapping bands (plastic),Project AWARE
plastic materials,"straws, stirrers",Project AWARE
plastic materials,syringes (plastic),Project AWARE
plastic materials,tampon applicators,Project AWARE
plastic materials,tobacco packaging & wrappers,Project AWARE
plastic materials,toothbrushes,Project AWARE
plastic materials,plastic fragments,Project AWARE
glass & ceramic materials,beverage bottles (glass),Project AWARE
glass & ceramic materials,buoys (glass),Project AWARE
glass & ceramic materials,"cups, plates, tableware, dishes (glass & ceramic)",Project AWARE
glass & ceramic materials,fluorescent light tubes,Project AWARE
glass & ceramic materials,jars: food (glass),Project AWARE
glass & ceramic materials,"light globes: bulbs, etc",Project AWARE
glass & ceramic materials,syringes (glass),Project AWARE
glass & ceramic materials,glass & ceramic fragments,Project AWARE
metal materials,aerosol/spray cans,Project AWARE
metal materials,appliances: household,Project AWARE
metal materials,"batteries: AA, AAA, C & D, 6V, 9V, etc",Project AWARE
metal materials,batteries: car or boat,Project AWARE
metal materials,beverage cans (aluminium),Project AWARE
metal materials,"cans: food, juice, other (tin)",Project AWARE
metal materials,caps & lids (metal),Project AWARE
metal materials,cars & car parts,Project AWARE
metal materials,"cups, plates, tableware, dishes (metal)",Project AWARE
metal materials,drums: 55 gallon,Project AWARE
metal materials,"fishing: sinkers, lures, hooks",Project AWARE
metal materials,fishing: traps & pots,Project AWARE
metal materials,"forks, knives, spoons (cutlery)",Project AWARE
metal materials,"gas bottles/cylinder, drums: more than 4 litres",Project AWARE
metal materials,pipes & rebar,Project AWARE
metal materials,pull tabs: beverages,Project AWARE
metal materials,scuba weights,Project AWARE
metal materials,strapping bands (metal),Project AWARE
metal materials,"wire, wire mesh, barbed wire",Project AWARE
metal materials,wrappers (foil/metal),Project AWARE
metal materials,metal fragments,Project AWARE
rubber materials,condoms,Project AWARE
rubber materials,gloves (rubber),Project AWARE
rubber materials,inner-tubes & rubber sheets,Project AWARE
rubber materials,rubber bands,Project AWARE
rubber materials,tires/tyres,Project AWARE
rubber materials,rubber fragments,Project AWARE
wood materials,fishing: traps & pots,Project AWARE
wood materials,furnishings (wood),Project AWARE
wood materials,lumber (processed or cut/milled wood),Project AWARE
wood materials,pallets,Project AWARE
wood materials,wood fragments,Project AWARE
cloth materials,bags (burlap/hessian),Project AWARE
cloth materials,bags (cloth),Project AWARE
cloth materials,gloves (cloth),Project AWARE
cloth materials,rope & string (cloth),Project AWARE
cloth materials,"towels, rags",Project AWARE
cloth materials,cloth fragments,Project AWARE
paper/cardboard materials,bags (paper),Project AWARE
paper/cardboard materials,cardboard: packaging & cartons,Project AWARE
paper/cardboard materials,"paper: books, newspapers, magazines, etc",Project AWARE
paper/cardboard materials,paper/cardboard fragments,Project AWARE
mixed materials,"bricks, cinderblocks, chunks of cement",Project AWARE
mixed materials,clothing,Project AWARE
mixed materials,computer equipment & other electronic devices,Project AWARE
mixed materials,fireworks,Project AWARE
mixed materials,"shoes, flip flops, sandals, tennis, etc",Project AWARE
mixed materials,tampons,Project AWARE
mixed materials,toys,Project AWARE
plastic,,Rapid Trash Assessment
fabric/cloth,,Rapid Trash Assessment
glass,,Rapid Trash Assessment
biodegradable,,Rapid Trash Assessment
toxic,,Rapid Trash Assessment
metal,,Rapid Trash Assessment
miscellaneous,,Rapid Trash Assessment
construction,,Rapid Trash Assessment
biohazard,,Rapid Trash Assessment
,large,Rapid Trash Assessment
plastics,,Rech
polystyrene,,Rech
man. wood,,Rech
paper/ carton,,Rech
textile,,Rech
rubber,,Rech
other,,Rech
concrete/pottery,,Rech
metal,,Rech
glass,,Rech
,cigarette stubs,Rech
plastic,bag,SCCWRP
plastic,baloon(mylar/latex)/ribbon,SCCWRP
plastic,bandaid,SCCWRP
glass,beer bottle,SCCWRP
misc. items/pieces,boat/ship/engine part,SCCWRP
plastic,bottle,SCCWRP
plastic,buoy,SCCWRP
metal,can-other,SCCWRP
plastic,cap/lid,SCCWRP
plastic,cigarette box/wrapper,SCCWRP
misc. items/pieces,clothing,SCCWRP
misc. items/pieces,concrete/asphalt,SCCWRP
plastic,cup,SCCWRP
metal,drink can,SCCWRP
misc. items/pieces,fibreglass,SCCWRP
plastic,filmstrip (movie),SCCWRP
metal,fishing gear,SCCWRP
plastic,fishing line/net,SCCWRP
misc. items/pieces,food,SCCWRP
plastic,foodbag/wrapper,SCCWRP
glass,glass bottle/jar-other,SCCWRP
glass,glass piece (unid.),SCCWRP
misc. items/pieces,leather,SCCWRP
misc. items/pieces,lumber,SCCWRP
metal,metal piece (unid.),SCCWRP
glass,other glass (comment req.),SCCWRP
misc. items/pieces,other misc. (comment req.),SCCWRP
plastic,other plastic (comment req.),SCCWRP
plastic,plastic piece (unid.),SCCWRP
misc. items/pieces,paper,SCCWRP
plastic,polypropylene rope,SCCWRP
misc. items/pieces,rag/cloth,SCCWRP
misc. items/pieces,rubber,SCCWRP
misc. items/pieces,shoe,SCCWRP
plastic,single use food container,SCCWRP
misc. items/pieces,tape,SCCWRP
misc. items/pieces,tire,SCCWRP
plastic,toy,SCCWRP
plastic,utensil,SCCWRP
metal,wire,SCCWRP
,plastic - recyclable beverage containers (CRV-labeled),Tracking California's Trash
,glass - recyclable beverage containers (CRV labeled),Tracking California's Trash
,single use plastic carryout bags,Tracking California's Trash
,expanded polystyrene (EPS) disposable food & beverage ware,Tracking California's Trash
,rigid plastic disposable food and beverage ware,Tracking California's Trash
,mylar (non-recyclable) film food wrappers,Tracking California's Trash
,other plastic items,Tracking California's Trash
,paper food/beverage ware,Tracking California's Trash
,bulk paper and cardboard,Tracking California's Trash
,cigarette butts,Tracking California's Trash
,other glass items,Tracking California's Trash
,metal items,Tracking California's Trash
,miscellaneous items,Tracking California's Trash
plastic,hard plastic,van der Velde
plastic,plasric bags,van der Velde
plastic,film-like plastics (glad wrap and chip bags),van der Velde
plastic,other soft plastics,van der Velde
plastic,plastic packaging straps,van der Velde
plastic,net (estimate size),van der Velde
plastic,fishing line,van der Velde
plastic,"plastic (string, twine, rope)",van der Velde
cloth,"non-plastic (string, twine, rope)",van der Velde
glass,glass,van der Velde
metal,fish hook,van der Velde
metal,metal (hard),van der Velde
metal,"metal (soft, tinfoil)",van der Velde
rubber,balloon,van der Velde
rubber,other rubber items,van der Velde
foam,"polystyrene (foam, from esky's. buoys etc.)",van der Velde
foam,other foam,van der Velde
timber,"wood (posts, beams, ship hulls)",van der Velde
paper,cigarette butts,van der Velde
paper,paper,van der Velde
,smoking-related,Vincent
,food-related,Vincent
,tiny trash,Vincent
,waterway,Vincent
,medical/hygiene,Vincent
,dumping,Vincent
miscellaneous,,Vincent
,sanitary towels,Williams
,panty liners,Williams
,tampon/applic.,Williams
,toilet paper,Williams
,cotton buds,Williams
,other/unidentified,Williams
,fencing,Williams
,hardboard/wood,Williams
,brick/rubble,Williams
,floor cover,Williams
,furniture,Williams
,mattress/foam,Williams
,cans/tins,Williams
,conatiner drums,Williams
,sheeting,Williams
,polystyrene,Williams
,sheeting <30cm,Williams
,sheeting 30-60 cm,Williams
,sheeting >60 cm,Williams
,plastic bags,Williams
,sweet papers,Williams
,bottles,Williams
,carts/parts,Williams
,motorbikes/parts,Williams
,signs/cones,Williams
,cloth/shoes,Williams
,rope/fishing line,Williams
plastic,,Willis
glass,,Willis
foam,,Willis
metal,,Willis
paper,,Willis
wood,,Willis
rubber,,Willis
other,,Willis
,baloons,Zylstra
,plastic,Zylstra
PLASTIC,Fragment,5 Gyres Plastic Beach Microplastics Protocol 
PLASTIC,Pellet,5 Gyres Plastic Beach Microplastics Protocol 
PLASTIC,Line,5 Gyres Plastic Beach Microplastics Protocol 
PLASTIC,Thin Film,5 Gyres Plastic Beach Microplastics Protocol 
PLASTIC,Foam,5 Gyres Plastic Beach Microplastics Protocol 
PLASTIC,Other Plastic Items,5 Gyres Plastic Beach Microplastics Protocol 
OTHER ITEMS,Non-Plastic Items,5 Gyres Plastic Beach Microplastics Protocol 
OTHER ITEMS,Test,5 Gyres Plastic Beach Microplastics Protocol 
SITE DATA,Beach Name,5 Gyres Plastic Beach Microplastics Protocol 
SITE DATA,Quadrat #,5 Gyres Plastic Beach Microplastics Protocol 
SITE DATA,Location on the Beach,5 Gyres Plastic Beach Microplastics Protocol 
SITE DATA,Human use of beach,5 Gyres Plastic Beach Microplastics Protocol 
SITE DATA,Beach type,5 Gyres Plastic Beach Microplastics Protocol 
SITE DATA,Volunteer names (optional),5 Gyres Plastic Beach Microplastics Protocol 
SITE DATA,Other notes,5 Gyres Plastic Beach Microplastics Protocol 
SITE DATA,Nearest city/town,5 Gyres Plastic Beach Microplastics Protocol 
SITE DATA,State/province/county,5 Gyres Plastic Beach Microplastics Protocol 
SITE DATA,Recent rain/storms,5 Gyres Plastic Beach Microplastics Protocol 
SITE DATA,Date of Sampling,5 Gyres Plastic Beach Microplastics Protocol 
SITE DATA,Time of day,5 Gyres Plastic Beach Microplastics Protocol 
SITE DATA,Organization/group name,5 Gyres Plastic Beach Microplastics Protocol 
METAL,Aerosol cans,AAAS Water Diplomacy Symposium List 
METAL,Aluminum or tin cans,AAAS Water Diplomacy Symposium List 
PAPER & LUMBER,Paper Bags,AAAS Water Diplomacy Symposium List 
PLASTIC,Plastic Bags,AAAS Water Diplomacy Symposium List 
PLASTIC,Balloons and/or string,AAAS Water Diplomacy Symposium List 
PLASTIC,Plastic Bottle,AAAS Water Diplomacy Symposium List 
GLASS,Glass Bottle,AAAS Water Diplomacy Symposium List 
PLASTIC,Plastic Bottle or Container Caps,AAAS Water Diplomacy Symposium List 
METAL,Metal Bottle Caps,AAAS Water Diplomacy Symposium List 
PAPER & LUMBER,Lumber/Building Materials,AAAS Water Diplomacy Symposium List 
FISHING GEAR,Buoys and floats,AAAS Water Diplomacy Symposium List 
PLASTIC,Cigarette lighters/tobacco packaging,AAAS Water Diplomacy Symposium List 
PLASTIC,Cigarette or tobacco packaging,AAAS Water Diplomacy Symposium List 
PLASTIC,Cigarettes,AAAS Water Diplomacy Symposium List 
CLOTH,Clothing and Shoes,AAAS Water Diplomacy Symposium List 
PLASTIC,Foam or Plastic Cups,AAAS Water Diplomacy Symposium List 
PAPER & LUMBER,Paper Cups,AAAS Water Diplomacy Symposium List 
CLOTH,Fabric pieces,AAAS Water Diplomacy Symposium List 
FISHING GEAR,Fishing lures and lines,AAAS Water Diplomacy Symposium List 
RUBBER,Flip-flops,AAAS Water Diplomacy Symposium List 
PAPER & LUMBER,Food wrappers (paper),AAAS Water Diplomacy Symposium List 
PLASTIC,Plastic Food Wrappers,AAAS Water Diplomacy Symposium List 
PLASTIC,Rubber Gloves,AAAS Water Diplomacy Symposium List 
CLOTH,Gloves (non-rubber),AAAS Water Diplomacy Symposium List 
GLASS,Glass Jars,AAAS Water Diplomacy Symposium List 
PLASTIC,Other Plastic Jugs or Containers,AAAS Water Diplomacy Symposium List 
PAPER & LUMBER,Paper and Cardboard,AAAS Water Diplomacy Symposium List 
PLASTIC,Personal care products,AAAS Water Diplomacy Symposium List 
PLASTIC,Plastic or Foam Fragments,AAAS Water Diplomacy Symposium List 
FISHING GEAR,Plastic rope / Small Net Pieces,AAAS Water Diplomacy Symposium List 
FISHING GEAR,Rope or Net Pieces (non-nylon),AAAS Water Diplomacy Symposium List 
PLASTIC,Plastic Utensils,AAAS Water Diplomacy Symposium List 
PLASTIC,Six-pack rings,AAAS Water Diplomacy Symposium List 
PLASTIC,Straws,AAAS Water Diplomacy Symposium List 
PLASTIC,Styrofoam packaging,AAAS Water Diplomacy Symposium List 
RUBBER,Tires,AAAS Water Diplomacy Symposium List 
CLOTH,Towels or rags,AAAS Water Diplomacy Symposium List 
PLASTIC,Toys (plastic),AAAS Water Diplomacy Symposium List 
OTHER ITEMS,Other,AAAS Water Diplomacy Symposium List 
METAL,Batteries (acidic and alkaline),AAAS Water Diplomacy Symposium List 
PLASTIC,Chemicals and chemical containers,AAAS Water Diplomacy Symposium List 
FISHING GEAR,Crab/Lobster/Fish trap parts,AAAS Water Diplomacy Symposium List 
PLASTIC,Fireworks,AAAS Water Diplomacy Symposium List 
FISHING GEAR,Fishing nets,AAAS Water Diplomacy Symposium List 
PLASTIC,Non-food related plastic packaging,AAAS Water Diplomacy Symposium List 
PAPER & LUMBER,Pallets,AAAS Water Diplomacy Symposium List 
OTHER ITEMS,Test Item,AAAS Water Diplomacy Symposium List 
OTHER ITEMS,1. Vessel Name,Abandoned and Derelict Vessels
OTHER ITEMS,2. State Vessel ID,Abandoned and Derelict Vessels
OTHER ITEMS,3. Length,Abandoned and Derelict Vessels
OTHER ITEMS,4. Hull Type,Abandoned and Derelict Vessels
OTHER ITEMS,5. Vessel Type,Abandoned and Derelict Vessels
OTHER ITEMS,6. Your Proximity to Vessel,Abandoned and Derelict Vessels
OTHER ITEMS,7. Habitat the Vessel is in?,Abandoned and Derelict Vessels
OTHER ITEMS,8. Vessel Status,Abandoned and Derelict Vessels
OTHER ITEMS,9. Vessel Color,Abandoned and Derelict Vessels
OTHER ITEMS,10. Vessel a hazard to navigation?,Abandoned and Derelict Vessels
OTHER ITEMS,11. Chemical or fuel leakage? ,Abandoned and Derelict Vessels
OTHER ITEMS,12. Other debris near the vessel?,Abandoned and Derelict Vessels
OTHER ITEMS,13. Vessel occupied?,Abandoned and Derelict Vessels
OTHER ITEMS,14. Take a photo and submit ,Abandoned and Derelict Vessels
METAL,Aerosol cans,Bald Head Island Conservancy
METAL,Aluminum or tin cans,Bald Head Island Conservancy
PAPER & LUMBER,Paper Bags,Bald Head Island Conservancy
PLASTIC,Plastic Bags,Bald Head Island Conservancy
PLASTIC,Balloons and/or string,Bald Head Island Conservancy
PLASTIC,Plastic Bottle,Bald Head Island Conservancy
GLASS,Glass Bottle,Bald Head Island Conservancy
PLASTIC,Plastic Bottle or Container Caps,Bald Head Island Conservancy
METAL,Metal Bottle Caps,Bald Head Island Conservancy
PAPER & LUMBER,Lumber/Building Materials,Bald Head Island Conservancy
FISHING GEAR,Buoys and floats,Bald Head Island Conservancy
PLASTIC,Cigarette lighters/tobacco packaging,Bald Head Island Conservancy
PLASTIC,Cigarette or tobacco packaging,Bald Head Island Conservancy
PLASTIC,Cigarettes,Bald Head Island Conservancy
CLOTH,Clothing and Shoes,Bald Head Island Conservancy
PLASTIC,Foam or Plastic Cups,Bald Head Island Conservancy
PAPER & LUMBER,Paper Cups,Bald Head Island Conservancy
CLOTH,Fabric pieces,Bald Head Island Conservancy
FISHING GEAR,Fishing lures and lines,Bald Head Island Conservancy
RUBBER,Flip-flops,Bald Head Island Conservancy
PAPER & LUMBER,Food wrappers (paper),Bald Head Island Conservancy
PLASTIC,Plastic Food Wrappers,Bald Head Island Conservancy
PLASTIC,Rubber Gloves,Bald Head Island Conservancy
CLOTH,Gloves (non-rubber),Bald Head Island Conservancy
GLASS,Glass Jars,Bald Head Island Conservancy
PLASTIC,Other Plastic Jugs or Containers,Bald Head Island Conservancy
PAPER & LUMBER,Paper and Cardboard,Bald Head Island Conservancy
PLASTIC,Personal care products,Bald Head Island Conservancy
PLASTIC,Plastic or Foam Fragments,Bald Head Island Conservancy
FISHING GEAR,Plastic rope / Small Net Pieces,Bald Head Island Conservancy
FISHING GEAR,Rope or Net Pieces (non-nylon),Bald Head Island Conservancy
PLASTIC,Plastic Utensils,Bald Head Island Conservancy
PLASTIC,Six-pack rings,Bald Head Island Conservancy
PLASTIC,Straws,Bald Head Island Conservancy
PLASTIC,Styrofoam packaging,Bald Head Island Conservancy
RUBBER,Tires,Bald Head Island Conservancy
CLOTH,Towels or rags,Bald Head Island Conservancy
PLASTIC,Toys (plastic),Bald Head Island Conservancy
OTHER ITEMS,Other,Bald Head Island Conservancy
METAL,Batteries (acidic and alkaline),Bald Head Island Conservancy
PLASTIC,Chemicals and chemical containers,Bald Head Island Conservancy
FISHING GEAR,Crab/Lobster/Fish trap parts,Bald Head Island Conservancy
PLASTIC,Fireworks,Bald Head Island Conservancy
FISHING GEAR,Fishing nets,Bald Head Island Conservancy
PLASTIC,Non-food related plastic packaging,Bald Head Island Conservancy
PAPER & LUMBER,Pallets,Bald Head Island Conservancy
OTHER ITEMS,Test Item,Bald Head Island Conservancy
PLASTIC,Bag (Grocery),Blue Ocean Society for Marine Conservation
PLASTIC,Bag (Trash),Blue Ocean Society for Marine Conservation
PLASTIC,"Bag (zip-lock, produce, other)",Blue Ocean Society for Marine Conservation
PLASTIC,Beverage bottles,Blue Ocean Society for Marine Conservation
PLASTIC,Bottle caps,Blue Ocean Society for Marine Conservation
PLASTIC,Film (thin/flexible e.g. straw wrapper),Blue Ocean Society for Marine Conservation
PLASTIC,Fishing line,Blue Ocean Society for Marine Conservation
PLASTIC,Food containers,Blue Ocean Society for Marine Conservation
PLASTIC,Hooksett disks,Blue Ocean Society for Marine Conservation
PLASTIC,Nets (incl. bait bags),Blue Ocean Society for Marine Conservation
PLASTIC,Strapping bands (open),Blue Ocean Society for Marine Conservation
PLASTIC,Strapping bands (closed),Blue Ocean Society for Marine Conservation
PLASTIC,Straws,Blue Ocean Society for Marine Conservation
PLASTIC,Wrappers,Blue Ocean Society for Marine Conservation
PLASTIC,Zip ties (cable ties),Blue Ocean Society for Marine Conservation
PLASTIC,Non-beverage containers/bottles,Blue Ocean Society for Marine Conservation
PLASTIC,Other unk. plastic (larger than 10 cm),Blue Ocean Society for Marine Conservation
METAL,Beverage cans,Blue Ocean Society for Marine Conservation
METAL,Bottle caps,Blue Ocean Society for Marine Conservation
METAL,Other metal,Blue Ocean Society for Marine Conservation
GLASS,Beverage bottles,Blue Ocean Society for Marine Conservation
GLASS,Other glass,Blue Ocean Society for Marine Conservation
FOAM,Cups,Blue Ocean Society for Marine Conservation
FOAM,Floats/Buoys,Blue Ocean Society for Marine Conservation
FOAM,Flood containers,Blue Ocean Society for Marine Conservation
MIXED MATERIALS,Packing material,Blue Ocean Society for Marine Conservation
MIXED MATERIALS,Balloons (Mylar),Blue Ocean Society for Marine Conservation
MIXED MATERIALS,Balloons (Latex),Blue Ocean Society for Marine Conservation
MIXED MATERIALS,Cigarette butts/filters,Blue Ocean Society for Marine Conservation
MIXED MATERIALS,Dog Poop (Bagged),Blue Ocean Society for Marine Conservation
MIXED MATERIALS,Dog Poop (Un-Bagged),Blue Ocean Society for Marine Conservation
MIXED MATERIALS,Lobster bands,Blue Ocean Society for Marine Conservation
MIXED MATERIALS,Personal hygiene items,Blue Ocean Society for Marine Conservation
MIXED MATERIALS,Rope (larger than 1 meter/yard),Blue Ocean Society for Marine Conservation
MIXED MATERIALS,Rope scraps (smaller than 1 m/yd.),Blue Ocean Society for Marine Conservation
MIXED MATERIALS,Syringes,Blue Ocean Society for Marine Conservation
MIXED MATERIALS,Traps/pot pieces (do NOT remove),Blue Ocean Society for Marine Conservation
FRAGMENTS,Foam pieces (5mm or less),Blue Ocean Society for Marine Conservation
FRAGMENTS,Foam pieces (5mm-2.5cm),Blue Ocean Society for Marine Conservation
FRAGMENTS,Foam pieces (2.5cm-10cm),Blue Ocean Society for Marine Conservation
FRAGMENTS,Glass pieces (5mm or less),Blue Ocean Society for Marine Conservation
FRAGMENTS,Glass pieces (5mm-2.5cm),Blue Ocean Society for Marine Conservation
FRAGMENTS,Plastic pieces (5mm or less),Blue Ocean Society for Marine Conservation
FRAGMENTS,Plastic pieces (5mm-2.5cm),Blue Ocean Society for Marine Conservation
FRAGMENTS,Plastic pieces (2.5cm-10cm),Blue Ocean Society for Marine Conservation
INFORMATION,Name,Blue Ocean Society for Marine Conservation
INFORMATION,Cleanup Date,Blue Ocean Society for Marine Conservation
INFORMATION,Cleaanup Site,Blue Ocean Society for Marine Conservation
INFORMATION,Cleanup Start Time,Blue Ocean Society for Marine Conservation
INFORMATION,Cleanup End Time,Blue Ocean Society for Marine Conservation
INFORMATION,Weather,Blue Ocean Society for Marine Conservation
INFORMATION,Other remarks:,Blue Ocean Society for Marine Conservation
INFORMATION,Number of Adults,Blue Ocean Society for Marine Conservation
INFORMATION,Number of Children,Blue Ocean Society for Marine Conservation
INFORMATION,Total # of Bags of Trash,Blue Ocean Society for Marine Conservation
INFORMATION,Total lbs. of Trash,Blue Ocean Society for Marine Conservation
FRAGMENTS,Glass pieces (2.5cm-10cm),Blue Ocean Society for Marine Conservation
OTHER ITEMS,Other,Blue Ocean Society for Marine Conservation
SHORELINE AND RECREATIONAL ACTIVITES,Bags (paper),Clean Ocean Access
SHORELINE AND RECREATIONAL ACTIVITES,Bags (plastic),Clean Ocean Access
SHORELINE AND RECREATIONAL ACTIVITES,Balloons,Clean Ocean Access
SHORELINE AND RECREATIONAL ACTIVITES,Bev. Bottles (plastic),Clean Ocean Access
SHORELINE AND RECREATIONAL ACTIVITES,Bev. Bottles (glass),Clean Ocean Access
SHORELINE AND RECREATIONAL ACTIVITES,Bev. Cans,Clean Ocean Access
SHORELINE AND RECREATIONAL ACTIVITES,Caps & Lids,Clean Ocean Access
SHORELINE AND RECREATIONAL ACTIVITES,Clothes & Shoes,Clean Ocean Access
SHORELINE AND RECREATIONAL ACTIVITES,"Cups, Plates, Utensils",Clean Ocean Access
SHORELINE AND RECREATIONAL ACTIVITES,Food Wrappers/ Containers,Clean Ocean Access
SHORELINE AND RECREATIONAL ACTIVITES,Pull Tabs,Clean Ocean Access
SHORELINE AND RECREATIONAL ACTIVITES,6-Pack Holder,Clean Ocean Access
SHORELINE AND RECREATIONAL ACTIVITES,Gun Shells,Clean Ocean Access
SHORELINE AND RECREATIONAL ACTIVITES,Straws & Stirs,Clean Ocean Access
SHORELINE AND RECREATIONAL ACTIVITES,Toys,Clean Ocean Access
OCEAN/WATERWAY ACTIVITIES,Bait Containers,Clean Ocean Access
OCEAN/WATERWAY ACTIVITIES,Beach & Clean Bottles,Clean Ocean Access
OCEAN/WATERWAY ACTIVITIES,Buoys & Floats,Clean Ocean Access
OCEAN/WATERWAY ACTIVITIES,Crab/ Lobster/ Fish Traps,Clean Ocean Access
OCEAN/WATERWAY ACTIVITIES,Crates,Clean Ocean Access
OCEAN/WATERWAY ACTIVITIES,Fishing Line,Clean Ocean Access
OCEAN/WATERWAY ACTIVITIES,Fishing Lures/ Light Sticks,Clean Ocean Access
OCEAN/WATERWAY ACTIVITIES,Fishing Net,Clean Ocean Access
OCEAN/WATERWAY ACTIVITIES,Light Bulbs/Tubes,Clean Ocean Access
OCEAN/WATERWAY ACTIVITIES,Oil/Lube Bottles,Clean Ocean Access
OCEAN/WATERWAY ACTIVITIES,Pallets,Clean Ocean Access
OCEAN/WATERWAY ACTIVITIES,Plastic Sheets/ Tarps,Clean Ocean Access
OCEAN/WATERWAY ACTIVITIES,Rope,Clean Ocean Access
OCEAN/WATERWAY ACTIVITIES,Strap Bands,Clean Ocean Access
SMOKING-RELATED ACTIVITIES,Cigs & Cig Filters,Clean Ocean Access
SMOKING-RELATED ACTIVITIES,Cig Lghtrs,Clean Ocean Access
SMOKING-RELATED ACTIVITIES,Cigar Tips,Clean Ocean Access
SMOKING-RELATED ACTIVITIES,Tobacco Pkging,Clean Ocean Access
DUMPING ACTIVITES,Appliances ,Clean Ocean Access
DUMPING ACTIVITES,Battery,Clean Ocean Access
DUMPING ACTIVITES,Build Materials,Clean Ocean Access
DUMPING ACTIVITES,Car Parts,Clean Ocean Access
DUMPING ACTIVITES,55-Gallon Drums,Clean Ocean Access
DUMPING ACTIVITES,Tires,Clean Ocean Access
MEDICAL/PERSONAL HYGIENE,Condoms,Clean Ocean Access
MEDICAL/PERSONAL HYGIENE,Diapers,Clean Ocean Access
MEDICAL/PERSONAL HYGIENE,Syringes,Clean Ocean Access
MEDICAL/PERSONAL HYGIENE,Tampons,Clean Ocean Access
DEBRIS ITEMS OF LOCAL CONCERN,Misc. Plastic,Clean Ocean Access
DEBRIS ITEMS OF LOCAL CONCERN,Misc. Paper,Clean Ocean Access
