material,items,organization
rubber,other rubber pieces (please specify in other item box*),OSPAR
cloth,clothing,OSPAR
cloth,furnishing,OSPAR
cloth,sacking,OSPAR
cloth,shoes (leather),OSPAR
cloth,other textiles (please specify in other item box*),OSPAR
paper/cardboard,bags,OSPAR
paper/cardboard,cardboard,OSPAR
paper/cardboard,cartons e.g. tetrapak (milk),OSPAR
paper/cardboard,cartons e.g. tetrapak (other),OSPAR
paper/cardboard,cigarette packets,OSPAR
paper/cardboard,cigarette butts,OSPAR
paper/cardboard,cups,OSPAR
paper/cardboard,newspapers & magazines,OSPAR
paper/cardboard,other paper items (please specify in other item box*),OSPAR
wood (machined),corks,OSPAR
wood (machined),pallets,OSPAR
wood (machined),crates,OSPAR
wood (machined),ice lolly sticks/chip forks,OSPAR
wood (machined),paint brushes,OSPAR
wood (machined),other wood < 50 cm (please specify in other item box*),OSPAR
wood (machined),other wood > 50 cm (please specify in other item box*),OSPAR
metal,aerosol/spray cans,OSPAR
metal,bottle caps,OSPAR
metal,drink cans,OSPAR
metal,disposable BBQ's,OSPAR
metal,electric appliances,OSPAR
metal,fishing weights,OSPAR
metal,foil wrappers,OSPAR
metal,food cans,OSPAR
metal,industrial scrap,OSPAR
metal,oil drums,OSPAR
metal,paint tins,OSPAR
metal,lobster/crab pots and tops,OSPAR
metal,"wire, wire mesh, barbed wire",OSPAR
metal,other metal pieces < 50 cm (please specify in other item box*),OSPAR
metal,other metal pieces > 50 cm (please specify in other item box*),OSPAR
glass,bottles,OSPAR
glass,light bulbs/tubes,OSPAR
glass,other glass items (please specify in other item box*),OSPAR
pottery/ceramics,construction materials e.g. tiles,OSPAR
pottery/ceramics,octopus pots,OSPAR
pottery/ceramics,other ceramic/pottery items (please specify in other item box*),OSPAR
sanitary waste,condoms,OSPAR
sanitary waste,cotton bud sticks,OSPAR
sanitary waste,sanitary towels/panty liners/backing strips,OSPAR
sanitary waste,tampons and tampon applicators,OSPAR
sanitary waste,toilet fresheners,OSPAR
sanitary waste,other sanitary items (please specify in other item box*),OSPAR
medical waste,containers/tubes,OSPAR
medical waste,syringes,OSPAR
medical waste,"other medical items (swabs, bandaging etc.)
(please specify in other item box*)",OSPAR
faeces,bagged dog faeces,OSPAR
plastic materials,bags: grocery/retail (plastic),Project AWARE
plastic materials,bags:trash (plastic),Project AWARE
plastic materials,bait containers/packaging,Project AWARE
plastic materials,balloons,Project AWARE
plastic materials,balls,Project AWARE
plastic materials,"baskets, crates",Project AWARE
plastic materials,beverage bottles: less than 2 litres (plastic),Project AWARE
plastic materials,beverage bottles: 2 litres or more (plastic),Project AWARE
plastic materials,"bottles: bleach, cleaner",Project AWARE
plastic materials,bottles: oil/lube,Project AWARE
plastic materials,"buckets, drums & jerry cans: 2 litres or more",Project AWARE
plastic materials,buoys & floats (plastic & foamed),Project AWARE
plastic materials,caps & lids (plastic),Project AWARE
plastic materials,carpet (synthetic),Project AWARE
plastic materials,cigarette filters,Project AWARE
plastic materials,cigarette lighters,Project AWARE
plastic materials,cigar tips,Project AWARE
plastic materials,containers: fast food,Project AWARE
plastic materials,cotton bud sticks,Project AWARE
plastic materials,"cups, plates, forks, knives, spoons (plastic)",Project AWARE
plastic materials,diapers/nappies,Project AWARE
plastic materials,fishing: line,Project AWARE
plastic materials,"fishing: lures, rods/poles",Project AWARE
plastic materials,fishing: nets & pieces of nets,Project AWARE
plastic materials,fishing: traps & pots,Project AWARE
plastic materials,foam insulation & packaging,Project AWARE
plastic materials,food wrappers (plastic),Project AWARE
plastic materials,furnishings (plastic),Project AWARE
plastic materials,gloves (latex),Project AWARE
plastic materials,light sticks/cyalumes,Project AWARE
plastic materials,"mesh bags: fruit, vegetable, shellfish",Project AWARE
plastic materials,pipes (plastic/PVC),Project AWARE
plastic materials,rope (plastic/nylon),Project AWARE
plastic materials,"scuba & snorkel gear, masks, snorkels, fins",Project AWARE
plastic materials,"sheeting: tarpaulin, plastic sheets, palette wrap",Project AWARE
plastic materials,"six-pack rings, ring carriers",Project AWARE
plastic materials,strapping bands (plastic),Project AWARE
plastic materials,"straws, stirrers",Project AWARE
plastic materials,syringes (plastic),Project AWARE
plastic materials,tampon applicators,Project AWARE
plastic materials,tobacco packaging & wrappers,Project AWARE
plastic materials,toothbrushes,Project AWARE
plastic materials,plastic fragments,Project AWARE
glass & ceramic materials,beverage bottles (glass),Project AWARE
glass & ceramic materials,buoys (glass),Project AWARE
glass & ceramic materials,"cups, plates, tableware, dishes (glass & ceramic)",Project AWARE
glass & ceramic materials,fluorescent light tubes,Project AWARE
glass & ceramic materials,jars: food (glass),Project AWARE
glass & ceramic materials,"light globes: bulbs, etc",Project AWARE
glass & ceramic materials,syringes (glass),Project AWARE
glass & ceramic materials,glass & ceramic fragments,Project AWARE
metal materials,aerosol/spray cans,Project AWARE
metal materials,appliances: household,Project AWARE
metal materials,"batteries: AA, AAA, C & D, 6V, 9V, etc",Project AWARE
metal materials,batteries: car or boat,Project AWARE
metal materials,beverage cans (aluminium),Project AWARE
metal materials,"cans: food, juice, other (tin)",Project AWARE
metal materials,caps & lids (metal),Project AWARE
metal materials,cars & car parts,Project AWARE
metal materials,"cups, plates, tableware, dishes (metal)",Project AWARE
metal materials,drums: 55 gallon,Project AWARE
metal materials,"fishing: sinkers, lures, hooks",Project AWARE
metal materials,fishing: traps & pots,Project AWARE
metal materials,"forks, knives, spoons (cutlery)",Project AWARE
metal materials,"gas bottles/cylinder, drums: more than 4 litres",Project AWARE
metal materials,pipes & rebar,Project AWARE
metal materials,pull tabs: beverages,Project AWARE
metal materials,scuba weights,Project AWARE
metal materials,strapping bands (metal),Project AWARE
metal materials,"wire, wire mesh, barbed wire",Project AWARE
metal materials,wrappers (foil/metal),Project AWARE
metal materials,metal fragments,Project AWARE
rubber materials,condoms,Project AWARE
rubber materials,gloves (rubber),Project AWARE
rubber materials,inner-tubes & rubber sheets,Project AWARE
rubber materials,rubber bands,Project AWARE
rubber materials,tires/tyres,Project AWARE
rubber materials,rubber fragments,Project AWARE
wood materials,fishing: traps & pots,Project AWARE
wood materials,furnishings (wood),Project AWARE
wood materials,lumber (processed or cut/milled wood),Project AWARE
wood materials,pallets,Project AWARE
wood materials,wood fragments,Project AWARE
cloth materials,bags (burlap/hessian),Project AWARE
cloth materials,bags (cloth),Project AWARE
cloth materials,gloves (cloth),Project AWARE
cloth materials,rope & string (cloth),Project AWARE
cloth materials,"towels, rags",Project AWARE
cloth materials,cloth fragments,Project AWARE
paper/cardboard materials,bags (paper),Project AWARE
paper/cardboard materials,cardboard: packaging & cartons,Project AWARE
paper/cardboard materials,"paper: books, newspapers, magazines, etc",Project AWARE
paper/cardboard materials,paper/cardboard fragments,Project AWARE
mixed materials,"bricks, cinderblocks, chunks of cement",Project AWARE
mixed materials,clothing,Project AWARE
mixed materials,computer equipment & other electronic devices,Project AWARE
mixed materials,fireworks,Project AWARE
mixed materials,"shoes, flip flops, sandals, tennis, etc",Project AWARE
mixed materials,tampons,Project AWARE
mixed materials,toys,Project AWARE
plastic,,Rapid Trash Assessment
fabric/cloth,,Rapid Trash Assessment
glass,,Rapid Trash Assessment
biodegradable,,Rapid Trash Assessment
toxic,,Rapid Trash Assessment
metal,,Rapid Trash Assessment
miscellaneous,,Rapid Trash Assessment
construction,,Rapid Trash Assessment
biohazard,,Rapid Trash Assessment
,large,Rapid Trash Assessment
plastics,,Rech
polystyrene,,Rech
man. wood,,Rech
paper/ carton,,Rech
textile,,Rech
rubber,,Rech
other,,Rech
concrete/pottery,,Rech
metal,,Rech
glass,,Rech
,cigarette stubs,Rech
plastic,bag,SCCWRP
plastic,baloon(mylar/latex)/ribbon,SCCWRP
plastic,bandaid,SCCWRP
glass,beer bottle,SCCWRP
misc. items/pieces,boat/ship/engine part,SCCWRP
plastic,bottle,SCCWRP
plastic,buoy,SCCWRP
metal,can-other,SCCWRP
plastic,cap/lid,SCCWRP
plastic,cigarette box/wrapper,SCCWRP
misc. items/pieces,clothing,SCCWRP
misc. items/pieces,concrete/asphalt,SCCWRP
plastic,cup,SCCWRP
metal,drink can,SCCWRP
misc. items/pieces,fibreglass,SCCWRP
plastic,filmstrip (movie),SCCWRP
metal,fishing gear,SCCWRP
plastic,fishing line/net,SCCWRP
misc. items/pieces,food,SCCWRP
plastic,foodbag/wrapper,SCCWRP
glass,glass bottle/jar-other,SCCWRP
glass,glass piece (unid.),SCCWRP
misc. items/pieces,leather,SCCWRP
misc. items/pieces,lumber,SCCWRP
metal,metal piece (unid.),SCCWRP
glass,other glass (comment req.),SCCWRP
misc. items/pieces,other misc. (comment req.),SCCWRP
plastic,other plastic (comment req.),SCCWRP
plastic,plastic piece (unid.),SCCWRP
misc. items/pieces,paper,SCCWRP
plastic,polypropylene rope,SCCWRP
misc. items/pieces,rag/cloth,SCCWRP
misc. items/pieces,rubber,SCCWRP
misc. items/pieces,shoe,SCCWRP
plastic,single use food container,SCCWRP
misc. items/pieces,tape,SCCWRP
misc. items/pieces,tire,SCCWRP
plastic,toy,SCCWRP
plastic,utensil,SCCWRP
metal,wire,SCCWRP
,plastic - recyclable beverage containers (CRV-labeled),Tracking California's Trash
,glass - recyclable beverage containers (CRV labeled),Tracking California's Trash
,single use plastic carryout bags,Tracking California's Trash
,expanded polystyrene (EPS) disposable food & beverage ware,Tracking California's Trash
,rigid plastic disposable food and beverage ware,Tracking California's Trash
,mylar (non-recyclable) film food wrappers,Tracking California's Trash
,other plastic items,Tracking California's Trash
,paper food/beverage ware,Tracking California's Trash
,bulk paper and cardboard,Tracking California's Trash
,cigarette butts,Tracking California's Trash
,other glass items,Tracking California's Trash
,metal items,Tracking California's Trash
,miscellaneous items,Tracking California's Trash
plastic,hard plastic,van der Velde
plastic,plasric bags,van der Velde
plastic,film-like plastics (glad wrap and chip bags),van der Velde
plastic,other soft plastics,van der Velde
plastic,plastic packaging straps,van der Velde
plastic,net (estimate size),van der Velde
plastic,fishing line,van der Velde
plastic,"plastic (string, twine, rope)",van der Velde
cloth,"non-plastic (string, twine, rope)",van der Velde
glass,glass,van der Velde
metal,fish hook,van der Velde
metal,metal (hard),van der Velde
metal,"metal (soft, tinfoil)",van der Velde
rubber,balloon,van der Velde
rubber,other rubber items,van der Velde
foam,"polystyrene (foam, from esky's. buoys etc.)",van der Velde
foam,other foam,van der Velde
timber,"wood (posts, beams, ship hulls)",van der Velde
paper,cigarette butts,van der Velde
paper,paper,van der Velde
,smoking-related,Vincent
,food-related,Vincent
,tiny trash,Vincent
,waterway,Vincent
,medical/hygiene,Vincent
,dumping,Vincent
miscellaneous,,Vincent
,sanitary towels,Williams
,panty liners,Williams
,tampon/applic.,Williams
,toilet paper,Williams
,cotton buds,Williams
,other/unidentified,Williams
,fencing,Williams
,hardboard/wood,Williams
,brick/rubble,Williams
,floor cover,Williams
,furniture,Williams
,mattress/foam,Williams
,cans/tins,Williams
,conatiner drums,Williams
,sheeting,Williams
,polystyrene,Williams
,sheeting <30cm,Williams
,sheeting 30-60 cm,Williams
,sheeting >60 cm,Williams
,plastic bags,Williams
,sweet papers,Williams
,bottles,Williams
,carts/parts,Williams
,motorbikes/parts,Williams
,signs/cones,Williams
,cloth/shoes,Williams
,rope/fishing line,Williams
plastic,,Willis
glass,,Willis
foam,,Willis
metal,,Willis
paper,,Willis
wood,,Willis
rubber,,Willis
other,,Willis
,baloons,Zylstra
,plastic,Zylstra
,Other Plastic Items,5 Gyres Plastic Beach Microplastics Protocol
,Beach Name,5 Gyres Plastic Beach Microplastics Protocol
,Quadrat #,5 Gyres Plastic Beach Microplastics Protocol
,Location on the Beach,5 Gyres Plastic Beach Microplastics Protocol
,Human use of beach,5 Gyres Plastic Beach Microplastics Protocol
,Beach type,5 Gyres Plastic Beach Microplastics Protocol
,Volunteer names (optional),5 Gyres Plastic Beach Microplastics Protocol
,Other notes,5 Gyres Plastic Beach Microplastics Protocol
,Nearest city/town,5 Gyres Plastic Beach Microplastics Protocol
,State/province/county,5 Gyres Plastic Beach Microplastics Protocol
,Recent rain/storms,5 Gyres Plastic Beach Microplastics Protocol
,Date of Sampling,5 Gyres Plastic Beach Microplastics Protocol
,Time of day,5 Gyres Plastic Beach Microplastics Protocol
,Organization/group name,5 Gyres Plastic Beach Microplastics Protocol
,Pellet,5 Gyres Plastic Beach Microplastics Protocol
,Test,5 Gyres Plastic Beach Microplastics Protocol
,Non-Plastic Items,5 Gyres Plastic Beach Microplastics Protocol
,Fragment,5 Gyres Plastic Beach Microplastics Protocol
,Line,5 Gyres Plastic Beach Microplastics Protocol
,Thin Film,5 Gyres Plastic Beach Microplastics Protocol
,Foam,5 Gyres Plastic Beach Microplastics Protocol
,Other Plastic Jugs or Containers,AAAS Water Diplomacy Symposium List
,Non-food related plastic packaging,AAAS Water Diplomacy Symposium List
,Fishing nets,AAAS Water Diplomacy Symposium List
,Paper Cups,AAAS Water Diplomacy Symposium List
,Fireworks,AAAS Water Diplomacy Symposium List
,Styrofoam packaging,AAAS Water Diplomacy Symposium List
,Chemicals and chemical containers,AAAS Water Diplomacy Symposium List
,Toys (plastic),AAAS Water Diplomacy Symposium List
,Batteries (acidic and alkaline),AAAS Water Diplomacy Symposium List
,Crab/Lobster/Fish trap parts,AAAS Water Diplomacy Symposium List
,Test Item,AAAS Water Diplomacy Symposium List
,Other,AAAS Water Diplomacy Symposium List
,Rope or Net Pieces (non-nylon),AAAS Water Diplomacy Symposium List
,Plastic rope / Small Net Pieces,AAAS Water Diplomacy Symposium List
,Fishing lures and lines,AAAS Water Diplomacy Symposium List
,Buoys and floats,AAAS Water Diplomacy Symposium List
,Pallets,AAAS Water Diplomacy Symposium List
,Paper and Cardboard,AAAS Water Diplomacy Symposium List
,Food wrappers (paper),AAAS Water Diplomacy Symposium List
,Lumber/Building Materials,AAAS Water Diplomacy Symposium List
,Paper Bags,AAAS Water Diplomacy Symposium List
,Towels or rags,AAAS Water Diplomacy Symposium List
,Gloves (non-rubber),AAAS Water Diplomacy Symposium List
,Fabric pieces,AAAS Water Diplomacy Symposium List
,Clothing and Shoes,AAAS Water Diplomacy Symposium List
,Tires,AAAS Water Diplomacy Symposium List
,Flip-flops,AAAS Water Diplomacy Symposium List
,Glass Jars,AAAS Water Diplomacy Symposium List
,Glass Bottle,AAAS Water Diplomacy Symposium List
,Metal Bottle Caps,AAAS Water Diplomacy Symposium List
,Aluminum or tin cans,AAAS Water Diplomacy Symposium List
,Aerosol cans,AAAS Water Diplomacy Symposium List
,Straws,AAAS Water Diplomacy Symposium List
,Six-pack rings,AAAS Water Diplomacy Symposium List
,Plastic Utensils,AAAS Water Diplomacy Symposium List
,Plastic or Foam Fragments,AAAS Water Diplomacy Symposium List
,Personal care products,AAAS Water Diplomacy Symposium List
,Rubber Gloves,AAAS Water Diplomacy Symposium List
,Plastic Food Wrappers,AAAS Water Diplomacy Symposium List
,Foam or Plastic Cups,AAAS Water Diplomacy Symposium List
,Cigarettes,AAAS Water Diplomacy Symposium List
,Cigarette lighters/tobacco packaging,AAAS Water Diplomacy Symposium List
,Cigarette or tobacco packaging,AAAS Water Diplomacy Symposium List
,Plastic Bottle or Container Caps,AAAS Water Diplomacy Symposium List
,Plastic Bottle,AAAS Water Diplomacy Symposium List
,Balloons and/or string,AAAS Water Diplomacy Symposium List
,Plastic Bags,AAAS Water Diplomacy Symposium List
,1. Vessel Name,Abandoned and Derelict Vessels
,2. State Vessel ID,Abandoned and Derelict Vessels
,3. Length,Abandoned and Derelict Vessels
,4. Hull Type,Abandoned and Derelict Vessels
,5. Vessel Type,Abandoned and Derelict Vessels
,6. Your Proximity to Vessel,Abandoned and Derelict Vessels
,7. Habitat the Vessel is in?,Abandoned and Derelict Vessels
,8. Vessel Status,Abandoned and Derelict Vessels
,9. Vessel Color,Abandoned and Derelict Vessels
,10. Vessel a hazard to navigation?,Abandoned and Derelict Vessels
,11. Chemical or fuel leakage?,Abandoned and Derelict Vessels
,12. Other debris near the vessel?,Abandoned and Derelict Vessels
,13. Vessel occupied?,Abandoned and Derelict Vessels
,14. Take a photo and submit,Abandoned and Derelict Vessels
,Other Plastic Jugs or Containers,Bald Head Island Conservancy
,Non-food related plastic packaging,Bald Head Island Conservancy
,Fishing nets,Bald Head Island Conservancy
,Paper Cups,Bald Head Island Conservancy
,Fireworks,Bald Head Island Conservancy
,Styrofoam packaging,Bald Head Island Conservancy
,Chemicals and chemical containers,Bald Head Island Conservancy
,Toys (plastic),Bald Head Island Conservancy
,Batteries (acidic and alkaline),Bald Head Island Conservancy
,Crab/Lobster/Fish trap parts,Bald Head Island Conservancy
,Test Item,Bald Head Island Conservancy
,Other,Bald Head Island Conservancy
,Rope or Net Pieces (non-nylon),Bald Head Island Conservancy
,Plastic rope / Small Net Pieces,Bald Head Island Conservancy
,Fishing lures and lines,Bald Head Island Conservancy
,Buoys and floats,Bald Head Island Conservancy
,Pallets,Bald Head Island Conservancy
,Paper and Cardboard,Bald Head Island Conservancy
,Food wrappers (paper),Bald Head Island Conservancy
,Lumber/Building Materials,Bald Head Island Conservancy
,Paper Bags,Bald Head Island Conservancy
,Towels or rags,Bald Head Island Conservancy
,Gloves (non-rubber),Bald Head Island Conservancy
,Fabric pieces,Bald Head Island Conservancy
,Clothing and Shoes,Bald Head Island Conservancy
,Tires,Bald Head Island Conservancy
,Flip-flops,Bald Head Island Conservancy
,Glass Jars,Bald Head Island Conservancy
,Glass Bottle,Bald Head Island Conservancy
,Metal Bottle Caps,Bald Head Island Conservancy
,Aluminum or tin cans,Bald Head Island Conservancy
,Aerosol cans,Bald Head Island Conservancy
,Straws,Bald Head Island Conservancy
,Six-pack rings,Bald Head Island Conservancy
,Plastic Utensils,Bald Head Island Conservancy
,Plastic or Foam Fragments,Bald Head Island Conservancy
,Personal care products,Bald Head Island Conservancy
,Rubber Gloves,Bald Head Island Conservancy
,Plastic Food Wrappers,Bald Head Island Conservancy
,Foam or Plastic Cups,Bald Head Island Conservancy
,Cigarettes,Bald Head Island Conservancy
,Cigarette lighters/tobacco packaging,Bald Head Island Conservancy
,Cigarette or tobacco packaging,Bald Head Island Conservancy
,Plastic Bottle or Container Caps,Bald Head Island Conservancy
,Plastic Bottle,Bald Head Island Conservancy
,Balloons and/or string,Bald Head Island Conservancy
,Plastic Bags,Bald Head Island Conservancy
,Hooksett disks,Blue Ocean Society for Marine Conservation
,Non-beverage containers/bottles,Blue Ocean Society for Marine Conservation
,Other unk. plastic (larger than 10 cm),Blue Ocean Society for Marine Conservation
,Glass pieces (5mm or less),Blue Ocean Society for Marine Conservation
,Glass pieces (5mm-2.5cm),Blue Ocean Society for Marine Conservation
,Glass pieces (2.5cm-10cm),Blue Ocean Society for Marine Conservation
,Other metal,Blue Ocean Society for Marine Conservation
,Dog Poop (Bagged),Blue Ocean Society for Marine Conservation
,Dog Poop (Un-Bagged),Blue Ocean Society for Marine Conservation
,Name,Blue Ocean Society for Marine Conservation
,Cleanup Date,Blue Ocean Society for Marine Conservation
,Cleaanup Site,Blue Ocean Society for Marine Conservation
,Cleanup Start Time,Blue Ocean Society for Marine Conservation
,Cleanup End Time,Blue Ocean Society for Marine Conservation
,Weather,Blue Ocean Society for Marine Conservation
,Other remarks:,Blue Ocean Society for Marine Conservation
,Number of Adults,Blue Ocean Society for Marine Conservation
,Number of Children,Blue Ocean Society for Marine Conservation
,Nets (incl. bait bags),Blue Ocean Society for Marine Conservation
,Other glass,Blue Ocean Society for Marine Conservation
,Film (thin/flexible e.g. straw wrapper),Blue Ocean Society for Marine Conservation
,Lobster bands,Blue Ocean Society for Marine Conservation
,Packing material,Blue Ocean Society for Marine Conservation
,Strapping bands (open),Blue Ocean Society for Marine Conservation
,Strapping bands (closed),Blue Ocean Society for Marine Conservation
,Zip ties (cable ties),Blue Ocean Society for Marine Conservation
,Syringes,Blue Ocean Society for Marine Conservation
,Flood containers,Blue Ocean Society for Marine Conservation
,Food containers,Blue Ocean Society for Marine Conservation
,Traps/pot pieces (do NOT remove),Blue Ocean Society for Marine Conservation
,Total # of Bags of Trash,Blue Ocean Society for Marine Conservation
,Total lbs. of Trash,Blue Ocean Society for Marine Conservation
,Other,Blue Ocean Society for Marine Conservation
,Rope (larger than 1 meter/yard),Blue Ocean Society for Marine Conservation
,Rope scraps (smaller than 1 m/yd.),Blue Ocean Society for Marine Conservation
,Fishing line,Blue Ocean Society for Marine Conservation
,Floats/Buoys,Blue Ocean Society for Marine Conservation
,Beverage cans,Blue Ocean Society for Marine Conservation
,Straws,Blue Ocean Society for Marine Conservation
,Foam pieces (5mm or less),Blue Ocean Society for Marine Conservation
,Foam pieces (5mm-2.5cm),Blue Ocean Society for Marine Conservation
,Foam pieces (2.5cm-10cm),Blue Ocean Society for Marine Conservation
,Plastic pieces (5mm or less),Blue Ocean Society for Marine Conservation
,Plastic pieces (5mm-2.5cm),Blue Ocean Society for Marine Conservation
,Plastic pieces (2.5cm-10cm),Blue Ocean Society for Marine Conservation
,Personal hygiene items,Blue Ocean Society for Marine Conservation
,Wrappers,Blue Ocean Society for Marine Conservation
,Cups,Blue Ocean Society for Marine Conservation
,Cigarette butts/filters,Blue Ocean Society for Marine Conservation
,Bottle caps,Blue Ocean Society for Marine Conservation
,Bottle caps,Blue Ocean Society for Marine Conservation
,Beverage bottles,Blue Ocean Society for Marine Conservation
,Beverage bottles,Blue Ocean Society for Marine Conservation
,Balloons (Mylar),Blue Ocean Society for Marine Conservation
,Balloons (Latex),Blue Ocean Society for Marine Conservation
,Bag (Grocery),Blue Ocean Society for Marine Conservation
,Bag (Trash),Blue Ocean Society for Marine Conservation
,"Bag (zip-lock, produce, other)",Blue Ocean Society for Marine Conservation
,Gun Shells,Clean Ocean Access
,Light Bulbs/Tubes,Clean Ocean Access
,Fishing Net,Clean Ocean Access
,Crates,Clean Ocean Access
,Appliances,Clean Ocean Access
,Misc. Plastic,Clean Ocean Access
,Strap Bands,Clean Ocean Access
,Plastic Sheets/ Tarps,Clean Ocean Access
,Tampons,Clean Ocean Access
,Syringes,Clean Ocean Access
,Diapers,Clean Ocean Access
,Condoms,Clean Ocean Access
,55-Gallon Drums,Clean Ocean Access
,Beach & Clean Bottles,Clean Ocean Access
,Oil/Lube Bottles,Clean Ocean Access
,Bait Containers,Clean Ocean Access
,Toys,Clean Ocean Access
,Battery,Clean Ocean Access
,Car Parts,Clean Ocean Access
,Crab/ Lobster/ Fish Traps,Clean Ocean Access
,Other Items of Conern/ Peculiar Items/ Animals,Clean Ocean Access
,Other Count,Clean Ocean Access
,Rope,Clean Ocean Access
,Fishing Line,Clean Ocean Access
,Fishing Lures/ Light Sticks,Clean Ocean Access
,Buoys & Floats,Clean Ocean Access
,Pallets,Clean Ocean Access
,Misc. Paper,Clean Ocean Access
,Build Materials,Clean Ocean Access
,Bags (paper),Clean Ocean Access
,Clothes & Shoes,Clean Ocean Access
,Tires,Clean Ocean Access
,Bev. Bottles (glass),Clean Ocean Access
,Pull Tabs,Clean Ocean Access
,Bev. Cans,Clean Ocean Access
,Straws & Stirs,Clean Ocean Access
,6-Pack Holder,Clean Ocean Access
,"Cups, Plates, Utensils",Clean Ocean Access
,Misc. Foam,Clean Ocean Access
,Food Wrappers/ Containers,Clean Ocean Access
,Cigs & Cig Filters,Clean Ocean Access
,Cigar Tips,Clean Ocean Access
,Cig Lghtrs,Clean Ocean Access
,Tobacco Pkging,Clean Ocean Access
,Caps & Lids,Clean Ocean Access
,Bev. Bottles (plastic),Clean Ocean Access
,Balloons,Clean Ocean Access
,Dog Waste Bags,Clean Ocean Access
,Bags (plastic),Clean Ocean Access
,Other Plastic Jugs or Containers,Corpus Christi Storm Water Runoff
,Non-food related plastic packaging,Corpus Christi Storm Water Runoff
,Fishing nets,Corpus Christi Storm Water Runoff
,Paper Cups,Corpus Christi Storm Water Runoff
,Fireworks,Corpus Christi Storm Water Runoff
,Styrofoam packaging,Corpus Christi Storm Water Runoff
,Chemicals and chemical containers,Corpus Christi Storm Water Runoff
,Toys (plastic),Corpus Christi Storm Water Runoff
,Batteries (acidic and alkaline),Corpus Christi Storm Water Runoff
,Crab/Lobster/Fish trap parts,Corpus Christi Storm Water Runoff
,Test Item,Corpus Christi Storm Water Runoff
,Other,Corpus Christi Storm Water Runoff
,Rope or Net Pieces (non-nylon),Corpus Christi Storm Water Runoff
,Plastic rope / Small Net Pieces,Corpus Christi Storm Water Runoff
,Fishing lures and lines,Corpus Christi Storm Water Runoff
,Buoys and floats,Corpus Christi Storm Water Runoff
,Pallets,Corpus Christi Storm Water Runoff
,Paper and Cardboard,Corpus Christi Storm Water Runoff
,Food wrappers (paper),Corpus Christi Storm Water Runoff
,Lumber/Building Materials,Corpus Christi Storm Water Runoff
,Paper Bags,Corpus Christi Storm Water Runoff
,Towels or rags,Corpus Christi Storm Water Runoff
,Gloves (non-rubber),Corpus Christi Storm Water Runoff
,Fabric pieces,Corpus Christi Storm Water Runoff
,Clothing and Shoes,Corpus Christi Storm Water Runoff
,Tires,Corpus Christi Storm Water Runoff
,Flip-flops,Corpus Christi Storm Water Runoff
,Glass Jars,Corpus Christi Storm Water Runoff
,Glass Bottle,Corpus Christi Storm Water Runoff
,Metal Bottle Caps,Corpus Christi Storm Water Runoff
,Aluminum or tin cans,Corpus Christi Storm Water Runoff
,Aerosol cans,Corpus Christi Storm Water Runoff
,Straws,Corpus Christi Storm Water Runoff
,Six-pack rings,Corpus Christi Storm Water Runoff
,Plastic Utensils,Corpus Christi Storm Water Runoff
,Plastic or Foam Fragments,Corpus Christi Storm Water Runoff
,Personal care products,Corpus Christi Storm Water Runoff
,Rubber Gloves,Corpus Christi Storm Water Runoff
,Plastic Food Wrappers,Corpus Christi Storm Water Runoff
,Foam or Plastic Cups,Corpus Christi Storm Water Runoff
,Cigarettes,Corpus Christi Storm Water Runoff
,Cigarette lighters/tobacco packaging,Corpus Christi Storm Water Runoff
,Cigarette or tobacco packaging,Corpus Christi Storm Water Runoff
,Plastic Bottle or Container Caps,Corpus Christi Storm Water Runoff
,Plastic Bottle,Corpus Christi Storm Water Runoff
,Balloons and/or string,Corpus Christi Storm Water Runoff
,Plastic Bags,Corpus Christi Storm Water Runoff
,Plastikë (të gjitha llojet),CRESSIDA List - Albanian
,Metale (të gjitha llojet),CRESSIDA List - Albanian
,Alumin (të gjitha llojet),CRESSIDA List - Albanian
,Organike dhe mikse,CRESSIDA List - Albanian
,Gjendja e pikës: legale / ilegale,CRESSIDA List - Albanian
,Lloji i mbetjes në pikë,CRESSIDA List - Albanian
,Afërsia me trupat ujore,CRESSIDA List - Albanian
,Afërsia me zonat e banuara,CRESSIDA List - Albanian
,Sipërfaqja,CRESSIDA List - Albanian
,Shkalla e rrezikut,CRESSIDA List - Albanian
,Masat,CRESSIDA List - Albanian
,Elektronike dhe elektrike,CRESSIDA List - Albanian
,Bateri,CRESSIDA List - Albanian
,Makina,CRESSIDA List - Albanian
,Të tjera,CRESSIDA List - Albanian
,Kartona dhe letër,CRESSIDA List - Albanian
,Mbetje ndërtimore,CRESSIDA List - Albanian
,Mbetje voluminoze dhe fibra,CRESSIDA List - Albanian
,Qelq (të gjitha llojet),CRESSIDA List - Albanian
,Plastics (all kinds),CRESSIDA List - English
,Metals (all kinds),CRESSIDA List - English
,Aluminum (all kinds),CRESSIDA List - English
,Organic and mixed waste,CRESSIDA List - English
,Type of site: Legal / Illegal,CRESSIDA List - English
,Type of waste on site,CRESSIDA List - English
,Vicinity to water bodies,CRESSIDA List - English
,Vicinity with settlements,CRESSIDA List - English
,Size,CRESSIDA List - English
,Risk,CRESSIDA List - English
,Remediation Measure,CRESSIDA List - English
,Electronic and electric waste,CRESSIDA List - English
,Batteries,CRESSIDA List - English
,End of life vehicles,CRESSIDA List - English
,Other waste,CRESSIDA List - English
